DEVICE, MODEL
byron, Xiaomi 17 Max
yili, Redmi K Pad 2
prague, Redmi K90 Max
erhu, Redmi Pad 2 SE 4G
guitar, Redmi Pad 2 SE / Pad 2 9.7 / POCO Pad C1
warhol, Xiaomi 17T Pro
chagall, Xiaomi 17T
somalia, Redmi 17 5G / R70 5G / R70m 5G / A7 Pro 5G
dash, Redmi Turbo 5 Max / POCO X8 Pro Max
arctic, Redmi A7 Pro / C81 Pro / POCO C81
klee, Redmi Turbo 5 / POCO X8 Pro
spinel, Redmi Note 15 4G
charoite, Redmi Note 15 Pro 4G
nezha, Xiaomi 17 Ultra
annibale, Redmi K90 / POCO F8 Pro
myron, Redmi K90 Pro Max / POCO F8 Ultra
yupei, Xiaomi Pad 8
piano, Xiaomi Pad 8 Pro
pudding, Xiaomi 17
pandora, Xiaomi 17 Pro
popsicle, Xiaomi 17 Pro Max
organ, Redmi Pad 2 Pro 5G
flute, Redmi Pad 2 Pro / POCO Pad M1
tornado, Redmi 15C 5G / POCO M8 5G
kunzite, Redmi Note 15
flourite, Redmi Note 15 Pro+
klimt, Xiaomi 15T Pro
goya, Xiaomi 15T
spring, Redmi 15 5G / Note 15R / POCO M7 Plus 5G
lapis, Redmi Note 15 Pro
creek, Redmi 15 / POCO M7
dew, Redmi 15C / POCO C85
violin, Xiaomi Pad 7S Pro 12.5
bixi, Xiaomi MIX Flip 2
dali, Redmi K80 至尊版
turner, Xiaomi Pad Mini / 红米 K Pad
jinghu, Xiaomi Pad 7 Ultra
luming, Xiaomi Civi 5 Pro
dijun, Xiaomi 15S Pro
jinghu, Xiaomi Pad7 Ultra
luming, Xiaomi Civi5 Pro
onyx, Redmi Turbo 4 Pro / POCO F7
serenity, POCO C71 / Redmi A5
emerald, Redmi Note 14S
xuanyuan, Xiaomi 15 Ultra
obsidian, Redmi Note 14 Pro 4G
tanzanite, Redmi Note 14 4G
rodin, Redmi Turbo 4 / POCO X7 Pro
miro, Redmi K80 Pro / POCO F7 Ultra
zorn, Redmi K80 / POCO F7 Pro
warm, POCO C75 5G / Redmi A4 5G
haotian, Xiaomi 15 Pro
dada, Xiaomi 15
muyu, Xiaomi Pad 7 Pro
uke, Xiaomi 至尊版7
degas, Xiaomi 14T
amethyst, Redmi Note14 Pro+
malachite, Redmi Note14 Pro / POCO X7
beryl, Redmi Note14 5G / POCO M7 Pro 5G
flame, Redmi 14R 5G / POCO M7 5G
lake, Redmi 14C / Redmi A3 Pro / POCO C75
flare, Redmi 至尊版SE 8.7 WiFi
spark, Redmi 至尊版SE 8.7 4G
breeze, Redmi 13 5G / Redmi Note 13R / POCO M6 Plus 5G
ruyi, Xiaomi MIX Flip
goku, Xiaomi MIX Fold 4
rothko, Redmi K70 至尊版 / Xiaomi 14T Pro
klein, Redmi A3x
